Project Summary (26/11/2024 17:05pm)
_______________________________________________________________________________

Project Name: 1119.aus

Camera name(s): Apple iPhone 13 (unique ID: default)

Scale Set?: Warning, no scale set

Adjustment: Free-Network

Number of images: 22

Number of referenced points: 104

Number of cameras: 1

Quality of geometry: 1.1 (good)

Minimum number of points on an image: 157 on image: IMG_3729.JPG 

Minimum point intersection angle: 64 degs for point: WONB14

Number of points referenced on: 
2 images only: 0
3 or more images: 104
4 or more images: 104
6 or more images: 102

Estimated accuracy of 3D point coordinates (RMS 1-Sigma): 
X: 1.6842 units, or 1:800
Y: 2.7678 units, or 1:500
Z: 2.1202 units, or 1:700
Overall: 2.2355 units, or 1:600

Estimated accuracy of image referencing: 1.78 pixels

Quality of self-calibration (if applied): 1.4

3D coordinate text file: N/A.
3D coordinate DXF file: N/A

_______________________________________________________________________________

Camera Name: Apple iPhone 13

Unique ID: default

Calibration Date: 26/11/2024 16:39pm

Resolution:  Width = 4032 pixels,  pixel width = 0.0017 mm
            Height = 3024 pixels, pixel height = 0.0017 mm

Principal Distance c = 5.3664 mm

Principal Point Offsets xp = -0.1662 mm
                        yp = 1.2283 mm

Radial Distortion K1 = -4.4669e-03
                  K2 = 2.5368e-03
                  K3 = -5.9635e-04

Decentering Distortion P1 = 2.5558e-04
                       P2 = -1.0358e-03

Affinity Parameter B1 = -9.470e-02
                   B2 = -2.233e-02

Fisheye Distortion K4 = 5.6286e-05
                   K5 = -1.8206e-06

Radial Distortion Correction Profile

r (mm)   dr (microns)
  0.0         +0.0
  0.5         -0.5
  1.0         -2.5
  1.5         -4.0
  2.0         -5.8
  2.5        -14.7
  3.0        -23.0
  3.5        -17.5
  4.0       -339.8
_______________________________________________________________________________

Project 3D Points

           Label           X           Y           Z          SX          SY          SZ
         WONB3_1    575.6312   -164.9920   -715.7665      2.1158      3.4355      3.1083
         WONB3_2    546.2141   -164.8096   -716.2741      2.3541      4.4563      3.0980
        WONB3_B1    576.6571   -148.2933   -739.9278      2.0996      3.5384      2.8089
         WONB3_3    516.7016   -162.6586   -715.9050      2.1042      3.2673      2.6395
           WONB3    546.5057   -146.2216   -739.6524      1.9395      3.4934      2.7410
        WONB3_B4    576.8492   -130.7362   -763.9082      2.0609      3.3029      2.6746
         WONB3_5    546.4314   -128.5789   -763.2805      1.9599      3.8250      2.8070
        WONB3_B9    539.6859   -111.1024   -786.5086      1.8096      3.0407      2.3223
      WONB14_B12    635.7559     44.9568  -1003.5447      1.6400      3.0949      2.2700
        WONB14_3    689.6143     68.8962  -1038.3939      2.4391      5.4767      3.4170
        WONB14_5    625.3630     62.3543  -1024.9266      1.6032      2.8763      2.1534
          WONB14    647.9802     73.0480  -1040.0146      2.1654      5.5250      2.4514
        WONB14_2    670.7447     83.1872  -1055.4513      2.6095      6.3905      3.3677
       WONB14_B5    599.8320     71.8655  -1036.9826      1.4785      2.3018      1.9355
       WONB14_B1    628.8763     86.1409  -1058.1962      2.1854      4.5889      2.5020
        WONB14_1    652.0090     97.1859  -1073.4701      1.7323      3.1013      2.2352
         WONB5_3    623.2075    205.2571  -1240.0030      2.0992      3.3452      2.5089
         WONB5_2    629.6021    220.2941  -1263.8021      1.7872      2.8221      2.5385
           WONB5    602.6567    225.6281  -1269.3880      1.8628      2.9856      2.3571
         WONB5_1    638.3816    236.2764  -1288.1056      1.7467      3.0353      2.5089
       WONB5_B11    551.3990    222.5875  -1258.7668      1.4842      2.3483      1.8674
         WONB5_5    574.8975    231.3023  -1274.3248      1.6540      2.6395      2.1415
        WONB5_B1    609.5565    240.9041  -1293.3822      1.8192      2.9327      2.4326
        WONB5_B4    582.2744    246.8946  -1298.1641      1.6148      2.5988      2.0406
         WONB2_3   -564.8182     86.9670   -972.9202      1.3579      2.0409      1.6479
         WONB2_2   -561.7563    103.8266   -996.6087      1.3556      1.9962      1.6055
           WONB2   -590.6203    107.3487   -997.7269      1.4243      2.0676      1.7468
         WONB2_5   -619.6632    109.8230   -999.4193      1.3818      2.2919      1.7234
         WONB2_1   -559.0224    121.7722  -1019.7705      1.3670      2.0437      1.6525
        WONB2_B1   -587.9554    124.4514  -1021.2873      1.3343      2.0523      1.6614
        WONB2_B8   -647.5126    116.4861  -1006.3435      1.6970      2.3799      2.2227
        WONB2_B4   -616.6143    127.4293  -1022.6214      1.4885      2.2843      1.7776
       WONB15_B5   -146.1216    317.9542  -1325.6933      1.4891      2.1240      1.8337
       WONB15_B1   -184.4884    322.3494  -1329.8387      1.4879      2.0934      1.8049
        WONB15_1   -213.1235    326.4415  -1333.9139      1.4860      2.0470      1.7695
        WONB15_5   -150.1586    334.5677  -1349.7206      1.4943      2.0545      1.7843
          WONB15   -178.8399    338.3042  -1354.0296      1.4927      2.0292      1.7618
        WONB15_2   -207.5533    342.1746  -1358.2785      1.4897      2.0063      1.7417
      WONB15_B13   -144.5598    349.4135  -1374.5722      1.5012      2.0006      1.7427
        WONB15_3   -201.9514    357.2581  -1382.8912      1.4949      1.9685      1.7139
         WONB7_3   -370.9622    373.6463  -1399.7838      1.5258      2.2715      1.7771
       WONB7_B13   -429.3811    376.8086  -1401.0928      1.4825      2.2890      1.7911
         WONB7_2   -369.3164    389.3806  -1424.3694      1.5274      2.2883      1.7844
           WONB7   -398.5522    391.0092  -1424.9511      1.5066      2.2997      1.7936
         WONB7_5   -427.7536    392.5113  -1425.7169      1.4641      2.2313      1.7796
         WONB7_1   -367.7130    405.4357  -1448.6247      1.5057      2.2176      1.7677
        WONB7_B1   -396.9026    407.0631  -1449.3447      1.5495      2.3550      1.7944
        WONB7_B4   -426.1830    408.6509  -1450.0640      1.5347      2.3862      1.8157
       WONB11_B5    222.0961     87.7800  -1032.6493      1.5283      2.3611      1.7871
       WONB11_B9    251.0914    103.1835  -1054.2725      1.5206      2.3620      1.7952
       WONB11_B1    184.7308     95.9819  -1040.0347      1.5191      2.4118      1.8125
        WONB11_5    221.9246    105.9284  -1055.6472      1.5191      2.3949      1.8110
        WONB11_1    157.0913    102.7703  -1046.5796      1.5093      2.4417      1.8294
          WONB11    194.2034    112.6560  -1062.1824      1.5126      2.4285      1.8301
        WONB11_2    166.5320    119.1572  -1068.9970      1.5040      2.4463      1.8428
        WONB11_3    175.9144    136.0050  -1091.0469      1.4984      2.4657      1.8649
        WONB10_3    102.0905    -83.3063   -790.5637      1.6646      2.1733      1.8342
        WONB10_2    108.6545    -66.5194   -813.9088      1.6526      2.2056      1.8495
          WONB10     80.1614    -61.2225   -818.1470      1.6469      2.2315      1.8603
        WONB10_5     51.6088    -56.0133   -822.4563      1.6400      2.2526      1.8688
        WONB10_1    115.1601    -50.0441   -837.5633      1.6415      2.2300      1.8613
       WONB10_B1     86.6899    -45.0324   -842.0307      1.6351      2.2501      1.8703
       WONB10_B8     25.3867    -47.2872   -832.1054      1.6294      2.2742      1.8778
       WONB10_B5     48.4269    -39.1919   -846.5097      1.6255      2.3048      1.8880
         WONB4_3   -551.5224    -71.4415   -759.6867      1.8666      2.6662      2.3991
         WONB4_2   -545.7340    -55.0043   -782.7840      1.6259      2.6368      2.0719
           WONB4   -573.4189    -50.0259   -787.5783      1.8558      2.6422      2.4174
       WONB4_B10   -630.3546    -50.8504   -783.2801      2.1147      2.9790      2.5374
         WONB4_5   -602.3493    -45.7110   -792.0890      1.7089      2.6171      2.2136
         WONB4_1   -538.7057    -38.4121   -806.2480      1.5955      2.2984      1.9731
        WONB4_B1   -567.2458    -33.3063   -810.6345      1.6299      2.5814      2.0870
        WONB4_B4   -595.5961    -28.5458   -815.3437      1.6216      2.4744      2.0927
       WONB18_B6   -267.5829     14.3868   -893.5110      1.4971      2.1934      1.7404
       WONB18_B1   -315.5474     15.9594   -893.1128      1.4876      2.1260      1.7078
        WONB18_1   -344.5184     19.1253   -896.1042      1.4790      2.0873      1.6880
       WONB18_B9   -252.7615     30.3966   -916.3901      1.4957      2.2350      1.7608
        WONB18_5   -281.9929     29.7129   -913.9318      1.4927      2.1897      1.7398
          WONB18   -311.0466     32.9359   -916.8465      1.4871      2.1493      1.7205
        WONB18_2   -340.0432     36.1432   -919.7824      1.4796      2.1091      1.7003
        WONB18_3   -335.5100     53.4070   -943.1303      1.4809      2.1403      1.7168
        WONB6_B4   -657.6986    283.1725  -1241.8376      1.7082      3.0371      2.3081
        WONB6_B1   -687.3737    285.2932  -1243.8927      1.7560      3.5142      2.5273
         WONB6_1   -717.2359    287.4463  -1245.8386      1.7238      3.1303      2.5968
         WONB6_5   -655.1378    298.8506  -1266.6101      1.7120      3.0709      2.3645
           WONB6   -684.8885    300.5254  -1268.5401      1.7737      3.5230      2.7212
         WONB6_2   -714.4718    303.5430  -1270.2094      2.0610      3.2002      2.6872
       WONB6_B12   -643.0527    313.4875  -1288.9746      1.6878      3.0467      2.4039
         WONB6_3   -712.7266    319.5385  -1295.9105      2.0937      3.2245      2.6065
         WONB9_3    333.1455    284.0728  -1331.1816      1.6299      2.1566      1.8068
       WONB9_B15    294.4009    287.9249  -1332.7488      1.5736      2.0429      1.7990
         WONB9_2    334.7694    300.0511  -1355.6571      1.7286      2.3116      1.8378
           WONB9    305.3071    302.2409  -1355.8049      1.5717      2.0447      1.7921
         WONB9_5    276.1052    304.3016  -1356.0681      1.5776      2.0482      1.7923
        WONB9_B4    277.7011    320.3640  -1380.5218      1.7297      2.3145      1.8317
        WONB9_B1    306.9757    318.2118  -1380.3921      1.7305      2.3196      1.8336
         WONB9_1    336.2313    316.0810  -1380.1761      1.7494      2.3873      1.8955
         WONB1_1   -155.3019    181.2241  -1119.0217      1.5504      2.7523      2.1166
